spotify_id,spotify_uri,album,name,popularity,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4poeu6nUr4UQo1RXpp29Js,spotify:track:4poeu6nUr4UQo1RXpp29Js,72 Seasons,72 Seasons,61,2023-04-14,1,0.193,0.983,9,-3.929,1,0.0591,4.01e-05,0.0375,0.0645,0.385,168.193,459120,4
1XcRSCO0AbSIX4f6z29MFn,spotify:track:1XcRSCO0AbSIX4f6z29MFn,72 Seasons,Shadows Follow,60,2023-04-14,2,0.313,0.979,11,-3.907,1,0.0462,0.000121,0.0313,0.261,0.678,178.884,371880,4
2zSb2Db4kNYH5qIs5V3BgG,spotify:track:2zSb2Db4kNYH5qIs5V3BgG,72 Seasons,Screaming Suicide,57,2023-04-14,3,0.425,0.972,4,-3.448,0,0.045,2.42e-05,0.0202,0.239,0.282,101.125,330453,4
1WjgFpSxwA0Bqyr7hWc3f1,spotify:track:1WjgFpSxwA0Bqyr7hWc3f1,72 Seasons,Sleepwalk My Life Away,56,2023-04-14,4,0.43,0.95,11,-4.203,1,0.034,1.73e-05,0.0641,0.103,0.543,124.931,416067,4
6HMs5zF1uidrx8UHAZdSVe,spotify:track:6HMs5zF1uidrx8UHAZdSVe,72 Seasons,You Must Burn!,55,2023-04-14,5,0.397,0.958,6,-3.088,0,0.0341,0.000122,0.0203,0.0378,0.416,85.836,423013,4
18zjwSgYiwu1Meb7Po3tUP,spotify:track:18zjwSgYiwu1Meb7Po3tUP,72 Seasons,Lux Æterna,62,2023-04-14,6,0.386,0.996,11,-2.96,0,0.0754,1.15e-05,0.000836,0.116,0.188,130.573,205680,4
1FdinUvlpQj2nqbzuS7XRw,spotify:track:1FdinUvlpQj2nqbzuS7XRw,72 Seasons,Crown of Barbed Wire,52,2023-04-14,7,0.437,0.964,9,-4.012,1,0.0367,2.06e-05,0.0411,0.0598,0.249,111.699,349400,4
5krkEca0E6k01D2CYvLuZx,spotify:track:5krkEca0E6k01D2CYvLuZx,72 Seasons,Chasing Light,51,2023-04-14,8,0.243,0.982,0,-3.626,1,0.0547,2e-05,0.0448,0.421,0.652,182.806,405107,4
3i4Nwzze8zflIoKsuoeBPM,spotify:track:3i4Nwzze8zflIoKsuoeBPM,72 Seasons,If Darkness Had a Son,54,2023-04-14,9,0.47,0.945,9,-4.378,1,0.045,2.3e-05,0.00544,0.0399,0.379,123.398,396293,4
7KdgYr9jNkQO1Au7BGjGLW,spotify:track:7KdgYr9jNkQO1Au7BGjGLW,72 Seasons,Too Far Gone?,55,2023-04-14,10,0.462,0.99,0,-4.134,1,0.047,2.77e-05,0.0261,0.0999,0.492,96.579,273693,4
07gm9g5b2LF3XJfYPnsVsj,spotify:track:07gm9g5b2LF3XJfYPnsVsj,72 Seasons,Room of Mirrors,52,2023-04-14,11,0.263,0.989,6,-3.45,0,0.0533,1.95e-05,0.0535,0.112,0.68,159.332,333707,4
4q55PFuLhKPB1JT1ZqYhsL,spotify:track:4q55PFuLhKPB1JT1ZqYhsL,72 Seasons,Inamorata,53,2023-04-14,12,0.495,0.872,11,-4.062,1,0.0329,0.000289,0.00894,0.0626,0.308,120.443,670253,4
0L5ZW54haCFM84is0UhLjj,spotify:track:0L5ZW54haCFM84is0UhLjj,S&M2,The Ecstasy of Gold (Live),38,2020-08-28,1,0.112,0.616,9,-11.209,0,0.0837,0.0741,0.303,0.975,0.124,68.481,161053,4
2v0QgowVkLxj9cB1jzj3C0,spotify:track:2v0QgowVkLxj9cB1jzj3C0,S&M2,The Call of Ktulu (Live),33,2020-08-28,2,0.226,0.899,8,-8.021,0,0.0754,5.02e-05,0.79,0.552,0.0811,133.271,554413,4
5YPzY1EmlXP7RoPz3dvhY8,spotify:track:5YPzY1EmlXP7RoPz3dvhY8,S&M2,For Whom the Bell Tolls (Live),36,2020-08-28,3,0.276,0.949,1,-7.676,1,0.0867,7.55e-06,0.109,0.876,0.118,131.589,276640,4
5bpoBNwWolJcSlZRi3UPHx,spotify:track:5bpoBNwWolJcSlZRi3UPHx,S&M2,The Day that Never Comes (Live),35,2020-08-28,4,0.298,0.917,6,-9.244,1,0.0797,0.000116,0.0416,0.906,0.231,136.026,506853,4
6HniW4lKCUneQnNOFm6Fdw,spotify:track:6HniW4lKCUneQnNOFm6Fdw,S&M2,The Memory Remains (Live),34,2020-08-28,5,0.176,0.831,1,-9.025,1,0.0638,0.00225,0.00234,0.903,0.11,81.541,342438,4
40EPUsKIP6KMXy0tkkIhdL,spotify:track:40EPUsKIP6KMXy0tkkIhdL,S&M2,Confusion (Live),31,2020-08-28,6,0.356,0.969,8,-7.569,1,0.0977,2.2e-05,0.0607,0.972,0.216,126.284,401296,4
35YBgQqJmonhnnrukXqZXl,spotify:track:35YBgQqJmonhnnrukXqZXl,S&M2,Moth Into Flame (Live),32,2020-08-28,7,0.324,0.943,8,-8.036,1,0.067,1.6e-05,0.0117,0.775,0.209,93.584,377800,4
5BAcCATD6kFplCbAZXgYTx,spotify:track:5BAcCATD6kFplCbAZXgYTx,S&M2,The Outlaw Torn (Live),32,2020-08-28,8,0.328,0.848,1,-8.467,1,0.0616,2.15e-05,0.017,0.976,0.338,126.572,602720,4
3GTmmIGmU3htgNun6b1KBX,spotify:track:3GTmmIGmU3htgNun6b1KBX,S&M2,No Leaf Clover (Live),37,2020-08-28,9,0.212,0.926,11,-7.362,1,0.0883,0.000588,0.000747,0.986,0.18,79.408,330107,4
1gM1LjcNF8mVO15fBVQo99,spotify:track:1gM1LjcNF8mVO15fBVQo99,S&M2,Halo on Fire (Live),32,2020-08-28,10,0.274,0.91,3,-7.479,0,0.079,2.49e-05,0.00687,0.844,0.222,137.409,497467,4
1ow4pOwIbrWbjbEXSYmRkb,spotify:track:1ow4pOwIbrWbjbEXSYmRkb,S&M2,Intro to Scythian Suite (Live),25,2020-08-28,1,0.414,0.558,4,-16.717,0,0.782,0.769,0.0,0.736,0.166,168.483,316920,3
6Z7Ms0ymWgen8D4hah0aOh,spotify:track:6Z7Ms0ymWgen8D4hah0aOh,S&M2,"Scythian Suite, Opus 20 II: The Enemy God And The Dance Of The Dark Spirits (Live)",26,2020-08-28,2,0.437,0.642,0,-10.793,1,0.0864,0.376,0.0027,0.732,0.16,117.358,219240,4
